Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/01/2019,"NEO BEAUTY SUPPLY PLANO TX                   03/31",-24.84,DEBIT_CARD,7743.42,,
DEBIT,04/01/2019,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/31",-22.81,DEBIT_CARD,7768.26,,
DEBIT,04/01/2019,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/31",-5.00,DEBIT_CARD,7791.07,,
DEBIT,04/01/2019,"BEAUTY BAR - DALLAS DALLAS TX                03/31",-6.01,DEBIT_CARD,7796.07,,
DEBIT,04/01/2019,"BEAUTY BAR - DALLAS DALLAS TX                03/31",-15.00,DEBIT_CARD,7802.08,,
DEBIT,04/01/2019,"BARCADIA DALLAS TX                           03/31",-17.00,DEBIT_CARD,7817.08,,
DEBIT,04/01/2019,"UBER TECHNOLOGIES INC 866-576-1039 CA        03/31",-20.29,DEBIT_CARD,7834.08,,
DEBIT,04/01/2019,"AMZN Mktp US*MW5FL8D Amzn.com/bill WA        03/31",-55.86,DEBIT_CARD,7854.37,,
DEBIT,04/01/2019,"Amazon.com*MW99M4HZ2 Amzn.com/bill WA        04/01",-8.63,DEBIT_CARD,7910.23,,
DEBIT,04/01/2019,"Online Transfer to SAV ...2128 transaction#: 8081602129 04/01",-500.00,ACCT_XFER,7918.86,,
DEBIT,04/01/2019,"QQ TEA HOUSE PLANO TX                        03/29",-3.24,DEBIT_CARD,8418.86,,
DEBIT,04/01/2019,"WU WEI DIN CHINESE CUIS PLANO TX             03/29",-22.94,DEBIT_CARD,8422.10,,
DEBIT,04/01/2019,"Amazon.com*MW8EJ05P0 Amzn.com/bill WA        03/29",-10.16,DEBIT_CARD,8445.04,,
CREDIT,04/01/2019,"Online Transfer from SAV ...2128 transaction#: 8087927521",3800.00,ACCT_XFER,8455.20,,
CREDIT,04/01/2019,"UNV TEXAS DALLAS DIR DEP                    PPD ID: 9751305566",3995.32,ACH_CREDIT,4655.20,,
